Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Scholarships,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
University of Wollongong,Australia,#196,Public,Very High,"19,103",Yes,"1,404", 86, 43.2, 31.3, 34.5, 19.2, 71, 91.8,"5,721",508
University of Amsterdam,,#=61,Public,Very High,"18,234",Yes,"2,790", 61.6, 69.9, 82.3, 55.6, 35.4, 83.3, 84.5,"5,943",890
Sapienza University of Rome,Italy,#171,Public,Very High,"74,483",,"3,237", 10.5, 46.1, 78.4, 33.8, 5.1, 46.3, 4.8,"5,860",103
Waseda University,Japan,#=189,Private,Very High,"44,078",,"3,864", 36.7, 44.1, 58.6, 93.6, 30.6, 7.6, 31,"7,209",553
Ludwig-Maximilians-Universität München,Germany,#63,Public,Very High,"35,858",,"3,818", 36.2, 68.9, 92.9, 80.7, 49.1, 43.9, 57.6,"5,816",846
Pohang University of Science And Technology (POSTECH),South Korea,#=77,Private,Very High,"3,087",,705, 3, 64.6, 43, 54.6, 99.9, 98.7, 33.8,85,107
University of Wisconsin-Madison,United States,#65,Public,Very High,"39,781",,"5,010", 27.6, 68.2, 85.6, 49.5, 72.7, 54.9, 34.7,"5,547",497
Princeton University,United States,#12,Private,Very High,"8,247",,"1,040", 65.6, 91, 99.9, 99, 68.6, 100, 71.6,"1,933",91
The University of Warwick,United Kingdom,#62,Public,Very High,"23,436",Yes,"2,464", 99.2, 69, 74.3, 92, 47.8, 51.4, 98.1,"9,977",1072
Alma Mater Studiorum - University of Bologna,Italy,#160,Public,Very High,"66,722",Yes,"2,806", 11.9, 48.2, 79.6, 46.4, 4.7, 46.3, 12.1,"5,706",204
Monash University,Australia,#55,Public,Very High,"58,823",Yes,"3,855", 100, 70.9, 90, 88.7, 14.1, 64.2, 100,"33,604",2195
The University of Hong Kong,Hong Kong S.A.R.,#22,Public,Very High,"20,113",Yes,"2,927", 98.9, 83.7, 98.1, 76.3, 83.8, 48, 100,"8,301",2025
The Hebrew University of Jerusalem,Israel,#=177,Public,Very High,"16,160",,"2,257", 9.9, 45.7, 37.4, 29.5, 79.8, 39.2, 65.4,"1,230",554
Universidad Autónoma de Madrid,Spain,#=200,Public,Very High,"28,741",,"2,869", 12, 42.8, 57.1, 55.4, 42.3, 23.3, 8.8,"2,470",161
Uppsala University,Sweden,#=124,Public,Very High,"26,521",,"2,659", 35.3, 53.7, 66.3, 27.7, 42.8, 52.5, 66.3,"4,246",661
Universidad de Buenos Aires (UBA),Argentina,#=66,Public,Very High,"117,449",,"16,103", 71.8, 67.5, 88.3, 90.8, 77.9, 2.5, 60.4,"29,516",3944
Aalto University,Finland,#127,Public,Very High,"12,423",,"1,376", 35.4, 53.6, 43.4, 43, 53.6, 72.5, 93.2,"1,992",515
Washington University in St. Louis,United States,#105,Private,Very High,"14,301",,"3,117", 61.8, 56.9, 43.3, 15.5, 99.8, 53.3, 80,"3,212",928
Newcastle University,United Kingdom,#=152,Public,Very High,"26,047",Yes,"2,530", 81.2, 50.2, 43.7, 76.8, 39.6, 41.8, 87.6,"7,312",846
Columbia University,United States,#19,Private,Very High,"27,740",,"7,011", 96.3, 86.5, 99.7, 97.3, 100, 48.5, 37.2,"10,190",1135
University of Texas at Austin,United States,#71,Public,Very High,"49,345",,"3,081", 16.2, 66.7, 94, 83.4, 12.4, 84, 6.5,"5,089",132
"University of Maryland, College Park",United States,#=152,Public,Very High,"37,339",,"4,002", 22.5, 50.2, 53.1, 31.5, 49.9, 65, 27.5,"4,644",527
Technische Universität Berlin (TU Berlin),Germany,#148,Public,Very High,"22,600",,"2,431", 74.4, 50.8, 54.1, 75, 50.3, 28.2, 38.2,"5,848",401
King Fahd University of Petroleum & Minerals,Saudi Arabia,#186,Public,Very High,"7,294",,"1,028", 18.1, 44.7, 27.7, 21.1, 80.7, 46.1, 100,801,748
University of Otago,New Zealand,#184,Public,Very High,"18,916",Yes,"1,345", 59, 45.3, 53, 36.5, 17.6, 43.5, 100,"4,118",807
Lancaster University,United Kingdom,#=135,Public,Very High,"13,598",Yes,"1,401", 95.4, 52.5, 40.6, 31, 45.6, 71.3, 93.7,"4,863",529
Lomonosov Moscow State University,Russia,#74,Public,Very High,"30,152",,"6,575", 76.8, 65.9, 77.3, 82.8, 99.8, 7.4, 20.1,"10,239",698
Université catholique de Louvain (UCLouvain),Belgium,#=189,Private,Very High,"24,613",,"1,269", 39.9, 44.1, 50.2, 37.2, 7.6, 60.9, 87.2,"4,220",422
Utrecht University,Netherlands,#=121,Public,Very High,"33,748",Yes,"3,254", 25, 53.8, 66, 34, 38.9, 58.3, 59.9,"4,454",744
Korea University,South Korea,#=69,Private,Very High,"25,450",,"3,750", 53.3, 67.1, 75.2, 91.7, 84.9, 35.4, 15,"5,188",322
University of Twente,Netherlands,#=197,Public,Very High,"11,273",,"1,062", 86.5, 43.1, 20.8, 40.4, 36.8, 69.8, 96.1,"3,402",428
University of Minnesota Twin Cities,United States,#=177,Public,Very High,"57,211",,"5,097", 15, 45.7, 64.3, 26.2, 31.9, 48.1, 7.1,"5,627",238
Northwestern University,United States,#29,Private,Very High,"19,123",Yes,"4,717", 45.3, 81.5, 85.1, 74.4, 99.7, 72.3, 57.9,"3,530",1271
University of Bergen,Norway,#194,Public,Very High,"11,919",,"1,634", 8.8, 43.4, 33.6, 8.2, 77.9, 42.4, 87.3,832,544
Emory University,United States,#158,Private,Very High,"13,421",Yes,"2,533", 41.1, 49.1, 25.8, 14.5, 98.5, 63.9, 50.1,"2,342",506
The University of Queensland,Australia,#46,Public,Very High,"42,198",Yes,"3,361", 99.9, 74.5, 89, 78.2, 23.8, 79.6, 100,"22,242",2029
