Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Massachusetts Institute of Technology (MIT),United States,#1,Private,Very High,"11,342","3,011", 91.9, 100, 100, 100, 100, 99.1, 100,"3,745",1681
Stanford University,United States,#2,Private,Very High,"16,260","4,478", 63.6, 98.4, 100, 100, 100, 98.1, 99.7,"3,665",2166
Harvard University,United States,#3,Private,Very High,"23,583","4,556", 69.9, 97.9, 100, 100, 98.6, 99.1, 85.2,"5,816",1466
California Institute of Technology (Caltech),United States,#4,Private,Very High,"2,237","1,059", 88.2, 97, 97, 82.8, 100, 99.9, 100,692,563
University of Oxford,United Kingdom,#5,Public,Very High,"20,786","6,650", 98.3, 96.7, 100, 100, 100, 81.3, 99.4,"8,259",3137
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,#6,Public,Very High,"18,563","2,619", 97.9, 95, 98.7, 96.6, 80.8, 96.4, 100,"7,247",1968
University of Cambridge,United Kingdom,#7,Public,Very High,"19,876","5,834", 97.4, 94.3, 100, 100, 100, 69.2, 100,"7,595",3019
Imperial College London,United Kingdom,#8,Public,Very High,"17,628","3,955", 100, 93.6, 98.5, 99.8, 99.9, 68.6, 100,"10,218",2170
University of Chicago,United States,#9,Private,Very High,"15,335","2,592", 82.6, 93.1, 99.4, 91.3, 94.4, 86.3, 67.1,"4,381",651
UCL,United Kingdom,#10,Public,Very High,"35,897","6,849", 100, 92.9, 99.4, 98.3, 98.4, 65.4, 99.3,"20,251",3204
National University of Singapore (NUS),Singapore,#11,Public,Very High,"29,080","4,611", 71.4, 91.5, 99.7, 98.4, 90.7, 72.9, 100,"7,273",3123
Princeton University,United States,#12,Private,Very High,"8,247","1,040", 65.6, 91, 99.9, 99, 68.6, 100, 71.6,"1,933",91
"Nanyang Technological University, Singapore (NTU)",Singapore,#13,Public,Very High,"23,951","3,846", 67.6, 89.9, 89.8, 89.8, 91.5, 89, 100,"5,738",2664
EPFL,Switzerland,#14,Public,Very High,"9,668","1,709", 100, 89.6, 80.4, 80, 96.3, 98.5, 100,"5,870",1342
Tsinghua University,China Mainland,#15,Public,Very High,"37,294","6,167", 29.7, 89.2, 98.2, 98.6, 93.3, 83.2, 55.3,"5,420",1312
University of Pennsylvania,United States,#16,Private,Very High,"21,454","5,120", 65.3, 88.6, 96.1, 91.5, 100, 63.8, 88.7,"5,011",1770
Yale University,United States,#17,Private,Very High,"13,482","5,326", 54.5, 88, 99.9, 100, 100, 52.8, 85.3,"2,788",1825
Cornell University,United States,#18,Private,Very High,"23,449","2,835", 70, 87.6, 98.5, 90.9, 63.7, 88.6, 93.7,"5,771",1070
Columbia University,United States,#19,Private,Very High,"27,740","7,011", 96.3, 86.5, 99.7, 97.3, 100, 48.5, 37.2,"10,190",1135
The University of Edinburgh,United Kingdom,#20,Public,Very High,"31,395","4,535", 99, 85.8, 98, 95.4, 83.1, 50.2, 98.2,"13,056",1976
University of Michigan-Ann Arbor,United States,#21,Public,Very High,"46,329","7,216", 41.3, 84.6, 98.9, 92.7, 89.4, 58, 74.8,"8,105",2003
The University of Hong Kong,Hong Kong S.A.R.,#22,Public,Very High,"20,113","2,927", 98.9, 83.7, 98.1, 76.3, 83.8, 48, 100,"8,301",2025
Peking University,China Mainland,#23,Public,Very High,"38,854","5,252", 34.3, 83.5, 99.2, 99.1, 76.4, 64.9, 69.7,"6,120",1363
The University of Tokyo,Japan,#24,Public,Very High,"27,559","4,479", 26.1, 83.2, 100, 99.6, 92.3, 62.5, 10.7,"3,725",295
Johns Hopkins University,United States,#=25,Private,Very High,"15,130","4,768", 87.7, 82.7, 86.7, 47, 100, 75.9, 66.3,"4,832",1185
University of Toronto,Canada,#=25,Public,Very High,"76,065","9,568", 94.1, 82.7, 99.3, 96.8, 70.3, 45.8, 97.9,"25,845",4113
The Hong Kong University of Science and Technology,Hong Kong S.A.R.,#=27,Public,Very High,"9,447","1,172", 88.9, 82.1, 85.2, 63.6, 66.7, 92.1, 100,"2,959",872
The University of Manchester,United Kingdom,#=27,Public,Very High,"37,089","4,850", 98.8, 82.1, 95.3, 97.4, 72.7, 48.4, 92.9,"15,209",1797
